model,method,layer,subspace_dimension,seed,epochs,learning_rate,batch_size,epoch,train_loss,evaluation_loss
gpt2-small,das,1,1,0,64,0.001,128,9,0.657375156879425,0.6225319504737854
gpt2-small,das,1,1,0,64,0.001,128,10,0.6225319504737854,0.5975610017776489
gpt2-small,das,1,1,0,64,0.001,128,11,0.5975610017776489,0.5836237072944641
gpt2-small,das,1,1,0,64,0.001,128,12,0.5836237072944641,0.5621370673179626
gpt2-small,das,1,1,0,64,0.001,128,13,0.5621370673179626,0.5481997728347778
gpt2-small,das,1,1,0,64,0.001,128,14,0.5481997728347778,0.5319396257400513
gpt2-small,das,1,1,0,64,0.001,128,15,0.5319396257400513,0.5104529857635498
gpt2-small,das,1,1,0,64,0.001,128,16,0.5104529857635498,0.48025551438331604
gpt2-small,das,1,1,0,64,0.001,128,17,0.48025551438331604,0.44657373428344727
gpt2-small,das,1,1,0,64,0.001,128,18,0.44657373428344727,0.42624855041503906
gpt2-small,das,1,1,0,64,0.001,128,19,0.42624855041503906,0.4117305278778076
gpt2-small,das,1,1,0,64,0.001,128,20,0.4117305278778076,0.38211384415626526
gpt2-small,das,1,1,0,64,0.001,128,21,0.38211384415626526,0.35830432176589966
gpt2-small,das,1,1,0,64,0.001,128,22,0.35830432176589966,0.34785133600234985
gpt2-small,das,1,1,0,64,0.001,128,23,0.34785133600234985,0.32752615213394165
gpt2-small,das,1,1,0,64,0.001,128,24,0.32752615213394165,0.3147503137588501
gpt2-small,das,1,1,0,64,0.001,128,25,0.3147503137588501,0.2973287105560303
gpt2-small,das,1,1,0,64,0.001,128,26,0.2973287105560303,0.2897793650627136
gpt2-small,das,1,1,0,64,0.001,128,27,0.2897793650627136,0.27119630575180054
gpt2-small,das,1,1,0,64,0.001,128,28,0.27119630575180054,0.265389084815979
gpt2-small,das,1,1,0,64,0.001,128,29,0.265389084815979,0.2514517903327942
gpt2-small,das,1,1,0,64,0.001,128,30,0.2514517903327942,0.24274100363254547
gpt2-small,das,1,1,0,64,0.001,128,31,0.24274100363254547,0.2380952686071396
gpt2-small,das,1,1,0,64,0.001,128,32,0.2380952686071396,0.22183509171009064
gpt2-small,das,1,1,0,64,0.001,128,33,0.22183509171009064,0.21370500326156616
gpt2-small,das,1,1,0,64,0.001,128,34,0.21370500326156616,0.2044134885072708
gpt2-small,das,1,1,0,64,0.001,128,35,0.2044134885072708,0.19628340005874634
gpt2-small,das,1,1,0,64,0.001,128,36,0.19628340005874634,0.19163765013217926
gpt2-small,das,1,1,0,64,0.001,128,37,0.19163765013217926,0.1887340247631073
gpt2-small,das,1,1,0,64,0.001,128,38,0.1887340247631073,0.1858304738998413
gpt2-small,das,1,1,0,64,0.001,128,39,0.1858304738998413,0.18408827483654022
gpt2-small,das,1,1,0,64,0.001,128,40,0.18408827483654022,0.18118467926979065
